Code,Language
afr,Afrikaans
amh,Amharic
ara,Arabic
asm,Assamese
aze,Azerbaijani
bel,Belarusian
ben,Bengali
bod,Tibetan
bos,Bosnian
bre,Breton
bul,Bulgarian
cat,Catalan; Valencian
ceb,Cebuano
ces,Czech
chi_sim,Chinese - Simplified
chi_tra,Chinese - Traditional
chr,Cherokee
cos,Corsican
cym,Welsh
dan,Danish
deu,German
dzo,Dzongkha
ell,"Greek, Modern"
eng,English
epo,Esperanto
est,Estonian
eus,Basque
fao,Faroese
fas,Persian
fil,Filipino (old - Tagalog)
fin,Finnish
fra,French
fry,Western Frisian
gla,Scottish Gaelic
gle,Irish
glg,Galician
grc,"Greek, Ancient"
guj,Gujarati
hat,Haitian; Haitian Creole
heb,Hebrew
hin,Hindi
hrv,Croatian
hun,Hungarian
hye,Armenian
iku,Inuktitut
ind,Indonesian
isl,Icelandic
ita,Italian
jav,Javanese
jpn,Japanese
kan,Kannada
kat,Georgian
kaz,Kazakh
khm,Central Khmer
kir,Kirghiz; Kyrgyz
kmr,Kurmanji
kor,Korean
kur,Kurdish
lao,Lao
lat,Latin
lav,Latvian
lit,Lithuanian
ltz,Luxembourgish
mal,Malayalam
mar,Marathi
mkd,Macedonian
mlt,Maltese
mon,Mongolian
mri,Maori
msa,Malay
mya,Burmese
nep,Nepali
nld,Dutch; Flemish
nor,Norwegian
oci,Occitan
ori,Oriya
pan,Panjabi
pol,Polish
por,Portuguese
pus,Pushto; Pashto
que,Quechua
ron,Romanian
rus,Russian
san,Sanskrit
sin,Sinhala
slk,Slovak
slv,Slovenian
snd,Sindhi
spa,Spanish; Castilian
sqi,Albanian
srp,Serbian
srp_latn,Serbian - Latin
sun,Sundanese
swa,Swahili
swe,Swedish
syr,Syriac
tam,Tamil
tat,Tatar
tel,Telugu
tgk,Tajik
tgl,Tagalog
tha,Thai
tir,Tigrinya
ton,Tonga
tur,Turkish
uig,Uighur
ukr,Ukrainian
urd,Urdu
uzb,Uzbek
vie,Vietnamese
yid,Yiddish
yor,Yoruba
